name,price,sku,link
,"₨3,580.00",,https://ziaulquran.com/shop/?add-to-cart=16919
,₨250.00,,https://ziaulquran.com/shop/?add-to-cart=10394
,₨170.00,,https://ziaulquran.com/shop/?add-to-cart=10395
,"₨1,050.00",,https://ziaulquran.com/shop/?add-to-cart=10400
,"₨1,325.00",,https://ziaulquran.com/shop/?add-to-cart=10402
,"₨1,425.00",,https://ziaulquran.com/shop/?add-to-cart=10404
,"₨1,235.00",,https://ziaulquran.com/shop/?add-to-cart=10405
,"₨1,325.00",,https://ziaulquran.com/shop/?add-to-cart=10406
,"₨1,425.00",,https://ziaulquran.com/shop/?add-to-cart=10407
,"₨1,900.00",,https://ziaulquran.com/shop/?add-to-cart=10408
,₨140.00,,https://ziaulquran.com/shop/?add-to-cart=10410
,₨90.00,,https://ziaulquran.com/shop/?add-to-cart=10412
,₨225.00,,https://ziaulquran.com/shop/?add-to-cart=10414
,₨500.00,,https://ziaulquran.com/shop/?add-to-cart=10417
,₨330.00,,https://ziaulquran.com/shop/?add-to-cart=10419
,₨550.00,,https://ziaulquran.com/shop/?add-to-cart=10424
,,,https://ziaulquran.com/product/quran-majeed-in-15-lines-without-translation/
,,,https://ziaulquran.com/product/16919/
,,,https://ziaulquran.com/product/quran-majeed-in-12-lines/
,₨285.00,,https://ziaulquran.com/shop/page/2/?add-to-cart=10426
,"₨1,025.00",,https://ziaulquran.com/shop/page/2/?add-to-cart=9280
,₨65.00,,https://ziaulquran.com/shop/page/2/?add-to-cart=10429
,₨450.00,,https://ziaulquran.com/shop/page/2/?add-to-cart=10432
,₨430.00,,https://ziaulquran.com/shop/page/2/?add-to-cart=10434
,₨120.00,,https://ziaulquran.com/shop/page/2/?add-to-cart=10436
,₨200.00,,https://ziaulquran.com/shop/page/2/?add-to-cart=10437
,₨200.00,,https://ziaulquran.com/shop/page/2/?add-to-cart=10438
,₨200.00,,https://ziaulquran.com/shop/page/2/?add-to-cart=11859
,₨260.00,,https://ziaulquran.com/shop/page/2/?add-to-cart=10439
,₨200.00,,https://ziaulquran.com/shop/page/2/?add-to-cart=10440
,₨550.00,,https://ziaulquran.com/shop/page/2/?add-to-cart=10443
,"₨2,100.00",,https://ziaulquran.com/shop/page/2/?add-to-cart=10445
,₨230.00,,https://ziaulquran.com/shop/page/2/?add-to-cart=10447
,"₨4,300.00",,https://ziaulquran.com/shop/page/2/?add-to-cart=10449
,₨470.00,,https://ziaulquran.com/shop/page/2/?add-to-cart=10452
,,,https://ziaulquran.com/product/quran-majeed-in-15-lines-without-translation/
,,,https://ziaulquran.com/product/16919/
,,,https://ziaulquran.com/product/quran-majeed-in-12-lines/
,₨260.00,,https://ziaulquran.com/shop/page/3/?add-to-cart=10460
,₨270.00,,https://ziaulquran.com/shop/page/3/?add-to-cart=10454
,₨120.00,,https://ziaulquran.com/shop/page/3/?add-to-cart=10456
,₨450.00,,https://ziaulquran.com/shop/page/3/?add-to-cart=10640
,₨120.00,,https://ziaulquran.com/shop/page/3/?add-to-cart=10458
,₨55.00,,https://ziaulquran.com/shop/page/3/?add-to-cart=10463
,₨90.00,,https://ziaulquran.com/shop/page/3/?add-to-cart=10465
,₨800.00,,https://ziaulquran.com/shop/page/3/?add-to-cart=10466
,"₨1,330.00",,https://ziaulquran.com/shop/page/3/?add-to-cart=10467
,₨340.00,,https://ziaulquran.com/shop/page/3/?add-to-cart=10470
,₨620.00,,https://ziaulquran.com/shop/page/3/?add-to-cart=10472
,₨750.00,,https://ziaulquran.com/shop/page/3/?add-to-cart=10474
,₨360.00,,https://ziaulquran.com/shop/page/3/?add-to-cart=10476
,₨920.00,,https://ziaulquran.com/shop/page/3/?add-to-cart=10477
,₨450.00,,https://ziaulquran.com/shop/page/3/?add-to-cart=10479
,₨150.00,,https://ziaulquran.com/shop/page/3/?add-to-cart=10481
,,,https://ziaulquran.com/product/quran-majeed-in-15-lines-without-translation/
,,,https://ziaulquran.com/product/16919/
,,,https://ziaulquran.com/product/quran-majeed-in-12-lines/
,₨670.00,,https://ziaulquran.com/shop/page/4/?add-to-cart=10483
,₨290.00,,https://ziaulquran.com/shop/page/4/?add-to-cart=10485
,₨236.00,,https://ziaulquran.com/shop/page/4/?add-to-cart=10487
,₨125.00,,https://ziaulquran.com/shop/page/4/?add-to-cart=10489
